venue_code,venue_name,total_races,hit_count,hit_rate,recovery_rate,ai_hit_rate,ai_recovery_rate,lift_vs_ai_only
8,常滑,29,27,0.931,2.3803,0.069,0.3966,1.9838
23,唐津,14,14,1,2.2511,0,0,2.2511
19,下関,24,23,0.9583,1.5325,0.125,3.7833,-2.2508
13,尼崎,36,31,0.8611,1.4572,0.0278,0.225,1.2322
15,丸亀,13,13,1,1.28,0.0769,0.2462,1.0338
3,江戸川,33,31,0.9394,1.2648,0.0909,0.3909,0.8739
6,浜名湖,48,41,0.8542,1.1919,0.1042,0.6979,0.494
20,若松,5,5,1,1.108,0.2,0.58,0.528
21,芦屋,19,16,0.8421,1.0421,0.1053,1.1632,-0.1211
5,多摩川,27,26,0.963,1.0163,0.0741,0.3296,0.6866
12,住之江,30,24,0.8,0.9949,0.0667,0.19,0.8049
10,三国,25,23,0.92,0.9544,0.2,0.828,0.1264
17,宮島,19,16,0.8421,0.9421,0,0,0.9421
11,びわこ,40,29,0.725,0.9278,0.075,0.4925,0.4353
2,戸田,50,42,0.84,0.925,0.06,0.21,0.715
7,蒲郡,50,38,0.76,0.7562,0.08,0.252,0.5042
16,児島,13,12,0.9231,0.6285,0.1538,0.7923,-0.1638
4,平和島,51,30,0.5882,0.5776,0.0784,0.2333,0.3443
22,福岡,17,9,0.5294,0.5041,0,0,0.5041
14,鳴門,19,13,0.6842,0.4958,0.0526,0.4579,0.0379
18,徳山,34,28,0.8235,0.4706,0.1765,0.7618,-0.2912
1,桐生,19,12,0.6316,0.4337,0,0,0.4337
24,大村,7,5,0.7143,0.3357,0.1429,0.4571,-0.1214